Symbol;Company;Earnings Date;EPS Estimate;Reported EPS;Surprise (%)
AMZN;Amazon.com Inc;April 29, 2026 at 6 AM EDT;-;-;-
AMZN;Amazon.com Inc;February 4, 2026 at 4 PM EST;-;-;-
AMZN;Amazon.com Inc;October 29, 2025 at 6 AM EDT;-;-;-
AMZN;Amazon.com Inc;July 30, 2025 at 4 PM EDT;-;-;-
AMZN;Amazon.com, Inc.;May 1, 2025 at 4 PM EDT;???.36;???.59;+16.74
AMZN;Amazon.com, Inc.;February 6, 2025 at 4 PM EST;???.49;???.86;+24.47
AMZN;Amazon.com, Inc.;October 31, 2024 at 4 PM EDT;???.14;???.43;+25.17
AMZN;Amazon.com, Inc.;August 1, 2024 at 4 PM EDT;01.???;???.26;+22.58
AMZN;Amazon.com, Inc.;April 30, 2024 at 4 PM EDT;0.83;0.98;+17.91
AMZN;Amazon.com, Inc.;February 1, 2024 at 4 PM EST;0.8;1;+24.55
AMZN;Amazon.com, Inc.;October 26, 2023 at 4 PM EDT;0.58;0.94;+60.85
AMZN;Amazon.com, Inc.;August 3, 2023 at 4 PM EDT;0.35;0.65;+85.73
AMZN;Amazon.com, Inc.;April 27, 2023 at 4 PM EDT;0.21;0.31;+46.36
AMZN;Amazon.com, Inc.;February 2, 2023 at 4 PM EST;0.18;0.25;+42.56
AMZN;Amazon.com, Inc.;October 27, 2022 at 4 PM EDT;0.22;0.17;-21.08
AMZN;Amazon.com, Inc.;July 28, 2022 at 4 PM EDT;0.14;0.18;+24.9
AMZN;Amazon.com, Inc.;April 28, 2022 at 4 PM EDT;0.42;0.37;-11.7
AMZN;Amazon.com, Inc.;February 3, 2022 at 4 PM EST;0.18;0.29;+62.48
AMZN;Amazon.com, Inc.;October 28, 2021 at 4 PM EDT;0.45;0.31;-31.39
AMZN;Amazon.com, Inc.;July 29, 2021 at 4 PM EDT;0.62;0.76;+22.91
AMZN;Amazon.com, Inc.;April 29, 2021 at 4 PM EDT;0.48;0.79;+65.48
AMZN;Amazon.com, Inc.;February 2, 2021 at 4 PM EST;0.36;0.7;+94.84
AMZN;Amazon.com, Inc.;October 29, 2020 at 4 PM EDT;0.37;0.62;+66.95
AMZN;Amazon.com, Inc.;July 30, 2020 at 4 PM EDT;0.07;0.52;+605.29
AMZN;Amazon.com, Inc.;April 30, 2020 at 4 PM EDT;0.31;0.25;-19.83
AMZN;Amazon.com, Inc.;January 30, 2020 at 4 PM EST;0.2;0.32;+60.62
AMZN;Amazon.com, Inc.;October 24, 2019 at 4 PM EDT;0.23;0.21;-8.43
AMZN;Amazon.com, Inc.;July 25, 2019 at 4 PM EDT;0.28;0.26;-6.27
AMZN;Amazon.com, Inc.;April 25, 2019 at 4 PM EDT;0.24;0.35;+50.11
AMZN;Amazon.com, Inc.;January 31, 2019 at 4 PM EST;0.28;0.3;+6.34
AMZN;Amazon.com, Inc.;October 25, 2018 at 4 PM EDT;0.16;0.29;+82.98
AMZN;Amazon.com, Inc.;July 26, 2018 at 4 PM EDT;0.13;0.25;+99.84
AMZN;Amazon.com, Inc.;April 26, 2018 at 4 PM EDT;0.06;0.16;+159.65
AMZN;Amazon.com, Inc.;February 1, 2018 at 4 PM EST;0.09;0.11;+17.33
AMZN;Amazon.com, Inc.;October 26, 2017 at 4 PM EDT;-;0.03;+1656.76
AMZN;Amazon.com, Inc.;July 27, 2017 at 4 PM EDT;0.07;0.02;-71.81
AMZN;Amazon.com, Inc.;April 27, 2017 at 4 PM EDT;0.05;0.07;+36.46
AMZN;Amazon.com, Inc.;February 2, 2017 at 4 PM EST;0.07;0.08;+14.35
AMZN;Amazon.com, Inc.;October 27, 2016 at 4 PM EDT;0.04;0.03;-33.25
AMZN;Amazon.com, Inc.;July 28, 2016 at 4 PM EDT;0.06;0.09;+60.65
AMZN;Amazon.com, Inc.;April 28, 2016 at 4 PM EDT;0.03;0.05;+81.42
AMZN;Amazon.com, Inc.;January 28, 2016 at 4 PM EST;0.08;0.05;-36.36
AMZN;Amazon.com, Inc.;October 22, 2015 at 4 PM EDT;-0.01;0.01;+225.37
AMZN;Amazon.com, Inc.;July 23, 2015 at 4 PM EDT;-0.01;0.01;+237.28
AMZN;Amazon.com, Inc.;April 23, 2015 at 4 PM EDT;-0.01;-0.01;+1.96
AMZN;Amazon.com, Inc.;January 29, 2015 at 4 PM EST;0.01;0.02;+168.18
AMZN;Amazon.com, Inc.;October 23, 2014 at 4 PM EDT;-0.04;-0.05;-29.25
AMZN;Amazon.com, Inc.;July 24, 2014 at 12 AM EDT;-0.01;-0.01;-85.44
AMZN;Amazon.com, Inc.;April 24, 2014 at 12 AM EDT;0.01;0.01;+0.88
AMZN;Amazon.com, Inc.;January 30, 2014 at 12 AM EST;0.03;0.03;-22.94
AMZN;Amazon.com, Inc.;October 24, 2013 at 12 AM EDT;-;-;-2.27
AMZN;Amazon.com, Inc.;July 25, 2013 at 12 AM EDT;-;-;-137.31
AMZN;Amazon.com, Inc.;April 25, 2013 at 12 AM EDT;-;0.01;+130.77
AMZN;Amazon.com, Inc.;January 29, 2013 at 12 AM EST;0.01;0.01;-24.62
AMZN;Amazon.com, Inc.;October 25, 2012 at 12 AM EDT;-;-0.01;-191.14
AMZN;Amazon.com, Inc.;July 26, 2012 at 12 AM EDT;-;0.01;+555.74
AMZN;Amazon.com, Inc.;April 26, 2012 at 12 AM EDT;-;0.01;+293.26
AMZN;Amazon.com, Inc.;January 31, 2012 at 12 AM EST;0.01;0.02;127
AMZN;Amazon.com, Inc.;October 25, 2011 at 12 AM EDT;0.01;0.01;-42.67
AMZN;Amazon.com, Inc.;July 26, 2011 at 12 AM EDT;0.02;0.02;+17.28
AMZN;Amazon.com, Inc.;April 26, 2011 at 12 AM EDT;0.03;0.02;-27.32
AMZN;Amazon.com, Inc.;January 27, 2011 at 12 AM EST;0.04;0.05;+3.03
AMZN;Amazon.com, Inc.;October 21, 2010 at 12 AM EDT;0.02;0.03;+7.28
AMZN;Amazon.com, Inc.;July 22, 2010 at 12 AM EDT;0.03;0.02;-16.45
AMZN;Amazon.com, Inc.;April 22, 2010 at 12 AM EDT;0.03;0.03;+9.05
AMZN;Amazon.com, Inc.;January 28, 2010 at 12 AM EST;0.04;0.04;+17.96
AMZN;Amazon.com, Inc.;October 22, 2009 at 12 AM EDT;0.02;0.02;+34.57
AMZN;Amazon.com, Inc.;July 23, 2009 at 12 AM EDT;0.02;0.02;+2.17
AMZN;Amazon.com, Inc.;April 23, 2009 at 12 AM EDT;0.02;0.02;+32.6
AMZN;Amazon.com, Inc.;January 29, 2009 at 12 AM EST;0.02;0.03;+33.2
AMZN;Amazon.com, Inc.;October 22, 2008 at 12 AM EDT;0.01;0.01;+9.67
AMZN;Amazon.com, Inc.;July 23, 2008 at 12 AM EDT;0.01;0.02;+42.09
AMZN;Amazon.com, Inc.;April 23, 2008 at 12 AM EDT;0.02;0.02;+5.13
AMZN;Amazon.com, Inc.;January 30, 2008 at 12 AM EST;0.02;0.02;+0.67
AMZN;Amazon.com, Inc.;October 23, 2007 at 12 AM EDT;0.01;0.01;+4.74
AMZN;Amazon.com, Inc.;July 24, 2007 at 12 AM EDT;0.01;0.01;+20.41
AMZN;Amazon.com, Inc.;April 24, 2007 at 12 AM EDT;0.01;0.01;+68.61
AMZN;Amazon.com, Inc.;February 1, 2007 at 12 AM EST;0.01;0.01;+8.8
AMZN;Amazon.com, Inc.;October 24, 2006 at 12 AM EDT;-;-;+50.6
AMZN;Amazon.com, Inc.;July 25, 2006 at 12 AM EDT;-;-;-22.84
AMZN;Amazon.com, Inc.;April 25, 2006 at 12 AM EDT;0.01;0.01;+2.39
AMZN;Amazon.com, Inc.;February 2, 2006 at 12 AM EST;0.01;0.02;+120.86
AMZN;Amazon.com, Inc.;October 25, 2005 at 12 AM EDT;-;-;-29.44
AMZN;Amazon.com, Inc.;July 26, 2005 at 12 AM EDT;0.01;0.01;+13.85
AMZN;Amazon.com, Inc.;April 26, 2005 at 12 AM EDT;0.01;0.01;-20.91
AMZN;Amazon.com, Inc.;February 2, 2005 at 12 AM EST;0.02;0.02;-12.19
AMZN;Amazon.com, Inc.;October 21, 2004 at 12 AM EDT;0.01;0.01;-4.28
AMZN;Amazon.com, Inc.;July 22, 2004 at 12 AM EDT;0.01;0.01;-5.06
AMZN;Amazon.com, Inc.;April 22, 2004 at 12 AM EDT;0.01;0.01;+16.87
AMZN;Amazon.com, Inc.;January 27, 2004 at 12 AM EST;0.01;0.01;+0.21
AMZN;Amazon.com, Inc.;October 21, 2003 at 12 AM EDT;-;0.01;+12.7
AMZN;Amazon.com, Inc.;July 22, 2003 at 12 AM EDT;-;0.01;+64.47
AMZN;Amazon.com, Inc.;April 24, 2003 at 12 AM EDT;-;0.01;+136.97
AMZN;Amazon.com, Inc.;January 23, 2003 at 12 AM EST;0.01;0.01;+32.87
AMZN;Amazon.com, Inc.;October 24, 2002 at 12 AM EDT;-;-;100
AMZN;Amazon.com, Inc.;July 23, 2002 at 12 AM EDT;-;-;+82.01
AMZN;Amazon.com, Inc.;April 23, 2002 at 12 AM EDT;-;-;+89.2
AMZN;Amazon.com, Inc.;January 22, 2002 at 12 AM EST;-;-;+231.2
AMZN;Amazon.com, Inc.;October 23, 2001 at 12 AM EDT;-0.01;-0.01;+0.25
AMZN;Amazon.com, Inc.;July 23, 2001 at 12 AM EDT;-0.01;-0.01;+27.14
AMZN;Amazon.com, Inc.;April 24, 2001 at 12 AM EDT;-0.01;-0.01;+17.39
AMZN;Amazon.com, Inc.;January 30, 2001 at 12 AM EST;-0.01;-0.01;+2.57
AMZN;Amazon.com, Inc.;October 24, 2000 at 12 AM EDT;-0.01;-0.01;+12.95
AMZN;Amazon.com, Inc.;July 26, 2000 at 12 AM EDT;-0.02;-0.02;+6.2
AMZN;Amazon.com, Inc.;April 26, 2000 at 12 AM EDT;-0.02;-0.02;+3.79
AMZN;Amazon.com, Inc.;February 2, 2000 at 12 AM EST;-0.02;-0.03;-13.36
AMZN;Amazon.com, Inc.;October 27, 1999 at 12 AM EDT;-0.01;-0.01;+7.54
AMZN;Amazon.com, Inc.;July 21, 1999 at 12 AM EDT;-0.01;-0.01;+0.47
AMZN;Amazon.com, Inc.;April 28, 1999 at 12 AM EDT;-0.01;-0.01;+19.92
AMZN;Amazon.com, Inc.;January 26, 1999 at 12 AM EST;-;-;+22.22
AMZN;Amazon.com, Inc.;October 28, 1998 at 12 AM EST;-;-;+15.53
AMZN;Amazon.com, Inc.;July 22, 1998 at 12 AM EDT;-;-;+1.34
AMZN;Amazon.com, Inc.;April 27, 1998 at 12 AM EDT;-;-;+13.92
AMZN;Amazon.com, Inc.;January 22, 1998 at 12 AM EST;-;-;+11.41
AMZN;Amazon.com, Inc.;October 27, 1997 at 12 AM EST;-;-;+13.29
AMZN;Amazon.com, Inc.;July 10, 1997 at 12 AM EDT;-;-;+13.33
;;;;;
